216;2;0;Physical Defence +
217;2;0;Physical Defence +
218;2;0;Physical Defence +
219;2;0;Physical Defence +
220;2;0;Physical Defence +
221;2;2;Physical Defence +%
222;2;2;Physical Defence +%
223;2;2;Physical Defence +%
224;2;2;Physical Defence +%
225;2;2;Physical Defence +%
226;2;0;Metal Resistance +
227;2;0;Metal Resistance +
228;2;0;Metal Resistance +
229;2;0;Metal Resistance +
230;2;0;Metal Resistance +
231;2;2;Metal Resistance +%
232;2;2;Metal Resistance +%
233;2;2;Metal Resistance +%
234;2;2;Metal Resistance +%
235;2;2;Metal Resistance +%
236;2;0;Wood Resistance +
237;2;0;Wood Resistance +
238;2;0;Wood Resistance +
239;2;0;Wood Resistance +
240;2;0;Wood Resistance +
241;2;2;Water Resistance +%
242;2;2;Water Resistance +%
243;2;2;Water Resistance +%
244;2;2;Water Resistance +%
245;2;2;Water Resistance +%
246;2;0;Fire Resistance +
247;2;0;Fire Resistance +
248;2;0;Fire Resistance +
249;2;0;Fire Resistance +
250;2;0;Fire Resistance +
251;2;2;Fire Resistance +%
252;2;2;Fire Resistance +%
253;2;2;Fire Resistance +%
254;2;2;Fire Resistance +%
255;2;2;Fire Resistance +%
256;2;0;Earth Resistance +
257;2;0;Earth Resistance +
258;2;0;Earth Resistance +
259;2;0;Earth Resistance +
260;2;0;Earth Resistance +
261;2;2;Earth Resistance +%
262;2;2;Earth Resistance +%
263;2;2;Earth Resistance +%
264;2;2;Earth Resistance +%
265;2;2;Earth Resistance +%
266;2;0;HP +
267;2;0;HP +
268;2;0;HP +
269;2;0;HP +
270;2;0;HP +
276;2;0;MP +
277;2;0;MP +
278;2;0;MP +
279;2;0;MP +
280;2;0;MP +
286;1;2;Speed +%
287;1;2;Speed +%
288;1;2;Speed +%
289;1;2;Speed +%
290;1;2;Speed +%
291;2;2;Evasion +%
292;2;2;Evasion +%
293;2;2;Evasion +%
294;2;2;Evasion +%
295;2;2;Evasion +%
296;1;2;Maximum Endurance +%
297;1;2;Maximum Endurance +%
298;1;2;Maximum Endurance +%
299;1;2;Maximum Endurance +%
300;1;2;Maximum Endurance +%
301;2;2;Requirement -%
302;2;2;Requirement -%
303;2;2;Requirement -%
304;2;2;Requirement -%
305;2;2;Requirement -%
306;2;0;Magic Defence +
307;2;0;Magic Defence +
308;2;0;Magic Defence +
309;2;0;Magic Defence +
310;2;0;Magic Defence +
311;1;2;Reduce Physical damage taken +%
312;1;2;Reduce Physical damage taken +%
313;1;2;Reduce Physical damage taken +%
314;1;2;Reduce Physical damage taken +%
315;1;2;Reduce Physical damage taken +%
316;2;0;Physical Defence+ Physical Attack-
317;2;0;Physical Defence+ Physical Attack-
318;2;0;Physical Defence+ Physical Attack-
319;2;0;Physical Defence+ Physical Attack-
320;2;0;Physical Defence+ Physical Attack-
321;1;0;HP Recovery +
322;1;0;HP Recovery +
323;1;0;HP Recovery +
324;1;0;HP Recovery +
325;1;0;HP Recovery +
326;1;0;MP Recovery +
327;1;0;MP Recovery +
328;1;0;MP Recovery +
329;1;0;MP Recovery +
330;1;0;MP Recovery +
331;1;2;Interval Between Hits -
332;1;2;Channelling -%
333;1;2;Channelling -%
334;1;2;Channelling -%
